C|2|mtype|c1|0
C|2|rtime|tns|1
C|2|dlt|dlt64|2
C|2|src|c1|3
C|2|sym|str|4
C|2|bmpid|c1|5
C|2|bprice|d102|6
C|2|bqty|i64|7
C|2|brank|N|-1
C|2|btxt|N|-1
C|2|smpid|N|-1
C|2|sprice|d102|8
C|2|sqty|i64|9
C|2|srank|str|10
C|2|stxt|N|-1
C|2|flags|str|11
C|T|mtype|c1|0
C|T|rtime|tns|1
C|T|dlt|i64|2
C|T|sym|str|3
C|T|src|c1|4
C|T|mpid|c1|5
C|T|price|d102|6
C|T|qty|i64|7
C|T|side|c1|8
C|T|flags|str|9
C|T|oldid|i64|10
D|N|mtype|c1|0
D|N|rtime|tns|1
D|N|dlt|dlt64|2
D|N|sym|str|3
D|N|oid|i64|4
D|N|src|str|5
D|N|price|d102|6
D|N|qty|d102|7
D|N|flags|str|9
D|N|otherfl|str|8
D|M|mtype|c1|0
D|M|rtime|tns|1
D|M|dlt|dlt64|2
D|M|sym|str|3
D|M|oid|i64|4
D|M|src|str|5
D|M|price|d185|6
D|M|qty|d102|7
D|M|flags|str|8
D|C|mtype|c1|0
D|C|rtime|tns|1
D|C|dlt|dlt64|2
D|C|sym|str|3
D|C|oid|i64|4
D|C|src|str|5
D|C|price|d185|6
D|C|qty|d102|7
D|C|flags|str|8
D|C|dinfo|str|9
D|T|mtype|c1|0
D|T|rtime|tns|1
D|T|dlt|dlt64|2
D|T|sym|str|3
D|T|src|c1|4
D|T|mpid|c1|5
D|T|price|d185|6
D|T|qty|d102|7
D|T|side|c1|8
D|T|flags|str|9
D|T|oldid|i64|10
